file	outcome	nodes	problems	tables	lists	links	text	roundtrip
htmlparser-benchmark/0e55dcdbeb54c88ee87942b9fef7ea5398fa9a1e83493d55844b479506a80fd8.html	ok	2110	6	0/0	23/91	185	8847/7e179cfca959	doctype
htmlparser-benchmark/15925c0d5cfc2d72411d63ba53616e60a4f80feddcae8b46ff2e03aafdbf50a8.html	ok	1417	19	3/18	7/42	106	9197/f9fdb45c019e	TRUE
htmlparser-benchmark/16702eaff02251b57c07ed736da79f438c2d14f020811e2887fd7bcf43a5b150.html	ok	1530	8	0/0	16/90	111	6694/aebc0c6b9a11	TRUE
htmlparser-benchmark/173cb8504d91bed86832e087316c2b1febe3e7e76f478f5a401c9ae4fc4641fb.html	ok	1905	100	4/35	13/101	150	8131/0792488252c0	doctype
htmlparser-benchmark/176f3005704bdc918e9a46ffecc2d225ec3fa723a66da18d53a77264b92e05ac.html	ok	1921	7	0/0	26/154	171	6895/3d1987a12adb	TRUE
htmlparser-benchmark/17ca85324662023ba21666b3ca5d5d37a92b2806bf7a88b906c28b90a635f82a.html	ok	2570	53	86/28	9/75	212	8722/df3af28d66b0	doctype
htmlparser-benchmark/19fe8f574b7420277862728929d83dd74d7aa9c742688ca4c386b75693547bd3.html	ok	1786	3	5/13	26/110	145	5606/c4ae883f0dae	doctype
htmlparser-benchmark/1a2c2f9fe410c836bb94e85c85625dbe8174f6e57f0b0316644cefd30979f096.html	ok	522	1	0/0	3/18	30	6154/aeecff0fa32f	TRUE
htmlparser-benchmark/1bbc7f62e80e44afd533e896c0168c3b18f1e934530d05cb1f579ad3347d135c.html	ok	1399	18	3/17	6/40	102	8658/389e0c137b2d	TRUE
htmlparser-benchmark/1d43b4816bdba5825165dc21558d9eafb9f650c67ba048411b04dc77a745dc39.html	ok	2436	5	1/1	19/128	167	8048/92aa7957ee43	doctype
htmlparser-benchmark/1de0efed4d661163ff8414e8ca69f45a49efd7edca19dc896ca0983a4bf41485.html	ok	4190	0	3/36	61/295	339	9242/ef072813e4b9	doctype
htmlparser-benchmark/1e62a223bca12adda6410b1789072a2ad755566bd4a6bc17d10dc95a51d74d65.html	ok	1065	20	0/0	9/43	83	4259/109632ee1f75	TRUE
htmlparser-benchmark/2044a448d1155e107a5241eb98437159db07430c81d0b1be01da43ca02e22202.html	ok	790	1	10/30	3/18	49	3986/bea33d05d927	FALSE
htmlparser-benchmark/204684f64a91cc679d1d4f29cd1be674e417f8fe7c68295b9a5bf0f69b85d4d4.html	ok	1859	1	0/0	21/110	121	6974/e088bee041d7	doctype
htmlparser-benchmark/2082eb019de3c7ef6227a70cd7e49d0a6249de5f6a5cf62e642a5181cb249bd3.html	ok	4997	17	0/0	58/318	517	16385/4ae5c21583cf	doctype
htmlparser-benchmark/20f1955819dc2b50d2d10788f73adc72bceb491a03ed608debb72a90bce65c50.html	ok	1985	0	0/0	46/172	209	8317/3d606050ba9b	TRUE
htmlparser-benchmark/211311431552954b9078fead81f729e8ffe50aca2a8849f6d8708bbe651404e6.html	ok	720	0	0/0	13/74	84	2045/829cd9a2680e	TRUE
htmlparser-benchmark/222dbaa4c9e280311e87e8793dd57e945cb019a7fae1a2b2fd4c6049ea148995.html	ok	1883	3	2/2	29/141	161	9139/6db3c777e7d8	doctype
htmlparser-benchmark/22c0f41ae560968de5e6b0ef9ecffffeae3f409aa73d9b82853f65535116f68f.html	ok	1208	1	16/54	13/73	128	7628/7cefc74c3d78	doctype
htmlparser-benchmark/22c3886e7116464c04c2332c20a013a5837992e7bcdb1f6cacd7d475f9784273.html	ok	1473	1	0/0	18/115	135	6307/8e86a1fe006e	TRUE
htmlparser-benchmark/22c4be85802e9602a344fc2cc704093362b9193523c6e35cfb7dc086c8ef8648.html	ok	2394	4	2/2	37/221	259	11656/726b0a977b67	doctype
htmlparser-benchmark/230f4fea097481b37a5d4c022dfc77feddf99599d2bbcdc2ac1abf684200cad8.html	ok	4379	18	0/0	53/301	453	13343/17f6d79ccdcb	doctype
htmlparser-benchmark/255604098d7512eebc3bbf496b92b8949b0cf2aa9b69d43c074c3b741ba83a8a.html	ok	2260	20	0/0	11/94	188	8373/7092768cd762	doctype
htmlparser-benchmark/257b3c0ed5dc1af7ebd88414785e86f12afd86a7fb1bf446fab2e7cedc9c6133.html	ok	1209	17	3/16	6/42	97	4981/255b0f3f26a6	TRUE
htmlparser-benchmark/26c3b98f33bb6902f32535235fd7d32792df87779bdf1f86c3b21e15fbf3161d.html	ok	1871	3	0/0	22/90	184	6460/c0df89d35dc1	doctype
htmlparser-benchmark/2dbf7cd4444617cc60f0e2d2c95b20a535979a32972f5005e2af577b37980e48.html	ok	1442	16	0/0	20/110	149	6698/aaf8e8e30970	TRUE
htmlparser-benchmark/2fd71e2969106342bab6862bb212ae16ba592b426dd4141da8a383b183aa3a37.html	ok	3607	5	0/0	57/229	302	11194/0f90bc57f71e	doctype
htmlparser-benchmark/3008c1b0145d310c035a1ada591f11a8bf7f87d0fba16e57f20d34022bb52c9e.html	ok	2707	4	0/0	56/163	250	11372/5633e7c46a7d	doctype
htmlparser-benchmark/3583db09d8fbe6ee207f0ed06e46b0ca39d7170829469b0ba353b83f0da10be7.html	ok	2648	39	0/0	35/164	221	10764/9f0080f6084f	TRUE
htmlparser-benchmark/35f536ef8c8eba0616f2dc78e6653e1d7d68e3af927b09efad3dae7ce2080567.html	ok	2236	7	0/0	21/129	202	8235/d7646d19e4d2	TRUE
htmlparser-benchmark/36325f8d21a22c77ef11b4039035b6d94f842a841904a483c472b54bb29a7445.html	ok	5314	0	8/144	63/318	421	15064/f468b6e8c265	doctype
htmlparser-benchmark/3733bd3d3a576606eb376bd274b8806c755607da4bb6e58cebd24876d4914d0b.html	ok	1896	0	0/0	30/120	160	6842/b5b593c3af19	TRUE
htmlparser-benchmark/3737f33c1f2366581f2ee45ded2d94adc0e7d9e6ca00fc094eaecbfaa0daa8e9.html	ok	354	1	0/0	3/18	25	3706/bda5a6d5439e	TRUE
htmlparser-benchmark/3b27831099c75b36d5978864ec89575c675c963e949cda52147a044bbfa77559.html	ok	2537	21	0/0	42/264	276	6366/69b407f107ce	TRUE
htmlparser-benchmark/3f6413c32bffc73b64cb1a2adb237cd19ffc75494c9172755f1a961ba32e75dd.html	ok	1384	18	13/32	0/0	124	4900/406f821d33ba	doctype
htmlparser-benchmark/4063d3f9f752fac6552211fd87b8dad1494cc024d8fbd30ee8e1c92a7f21fe08.html	ok	1551	7	1/2	16/74	122	6938/d03e18e8081d	doctype
htmlparser-benchmark/40957335ccdb58181d44b8597246b34ba44d070d729b4d7e008b72256b5efdd7.html	ok	2709	4	0/0	55/167	254	9124/e550a28e9647	doctype
htmlparser-benchmark/40d4e50472a8f0d30d68613051be510ed098087679df7e0e564d6dd32152d679.html	ok	2566	3	2/3	38/205	226	9696/84ddae5ad83a	doctype
htmlparser-benchmark/412e277a5e2c7399d7e48a35fdebd482377ab52925e053c0e0c9032c69525e2a.html	ok	1870	0	0/0	27/115	140	9568/28128b437e47	TRUE
htmlparser-benchmark/417d345d03641d0119788a34448994b5162cae2e05a0065037a78625101121a9.html	ok	1977	0	0/0	29/124	145	7080/f4fa3c5e7037	TRUE
htmlparser-benchmark/42b43887c6dd91353249924745e030eac3a6d818966d91c67b406431ff9bdf05.html	ok	3084	6	1/2	52/254	310	15354/51979fd0f61a	doctype
htmlparser-benchmark/44b21071ae6feede3c36d2ab032cd422eb0c6a0fdfe4da79531931ad93dd4940.html	ok	2064	15	0/0	22/115	163	9963/c2fa13800184	TRUE
htmlparser-benchmark/44f750fab67bb9f54f5b5cc90bc34d55cff06260a3e63245856a6e57fcda5906.html	ok	2520	6	0/0	49/357	391	12713/420b36d79b54	doctype
htmlparser-benchmark/45b6063ac2016db7b2fb1f995f0b54ee054fb561022e169c8fdbe321dcf672db.html	ok	1704	9	1/2	24/260	303	10954/af1457dcd49d	TRUE
htmlparser-benchmark/45efaba666da241d9d069b550890530b65f2a6b61a5e529e1d3664630d4897ee.html	ok	1597	7	0/0	13/68	148	5039/c5fed2ed0c49	doctype
htmlparser-benchmark/464ce5c0838f041dd0d9137eadf95a403232aae2e1eceee9069fc5f292303efe.html	ok	2554	53	86/28	9/75	210	8504/3d559d1a43f4	doctype
htmlparser-benchmark/469b0194ef7f191146fa44e8fbd8915dabecf45b05a58dad19f781f24eb437b3.html	ok	2488	6	0/0	25/124	166	10604/76f77ce94247	doctype
htmlparser-benchmark/46ab324348ca339dba58238e193f794c3309e52c018a8156ef9aedfedf0572e7.html	ok	2130	1	0/0	27/140	143	9063/d17c6b5bdeaf	doctype
htmlparser-benchmark/46ed10778ec7c1292e624e1a72a2a0899f8ab6d8d4db1aa57fa4418b8b7e0a5d.html	ok	1208	12	0/0	12/54	86	5006/ce38cd74c303	TRUE
htmlparser-benchmark/4776d064a7bbefb99bc5c7b928359bcc66cd6c11d03785e43e03087c0f9e5fcc.html	ok	1502	20	3/18	8/44	113	9662/b4da08326cb3	TRUE
htmlparser-benchmark/488a0b7fa8bc2e0d799ac1dcb22620654777c66a9260983f369d842210f5d3d4.html	ok	6310	6	1/9	20/362	432	46057/a66c7e332bae	doctype
htmlparser-benchmark/4956d92b9f6d0d63ecc1fdb32d4a3f61bd071293aace32aa42697a1206ed9d90.html	ok	1984	1	0/0	6/79	105	22440/954cb507ed32	TRUE
htmlparser-benchmark/4b8debc51d3d9598ad4552cc7a591d200a6c7d545fed2454916bedbb0f666086.html	ok	2677	3	2/3	40/207	225	8271/f98d34228263	doctype
htmlparser-benchmark/4bf8e536214f987f4a0bf6ca7d233619d30bde1e80a816c78d00358eb61e353c.html	ok	2485	11	2/2	37/222	268	12135/fe478b05b3aa	doctype
htmlparser-benchmark/4e0e399d24fe145def4817facccb0ff79e305dedb9ece5f8ec66396ea378f723.html	ok	2321	4	2/2	36/216	250	10288/2e8aa902be0a	doctype
htmlparser-benchmark/4f454cb97e9b77d94c10ed8a6a35cd2eff1671de9d3d27852a38abd76a95be83.html	ok	3034	6	1/2	52/254	300	13805/0a5238519b27	doctype
htmlparser-benchmark/4f83531b9fc91fd1e0062e43200669cd82cc36a518caa7f66fc6ba5be4ac545b.html	ok	1313	12	0/0	18/90	120	4257/9469673f3098	TRUE
htmlparser-benchmark/4fe5472ba89db38e20daef6025108310c52121fd382c06314d5b33d7f47c1e94.html	ok	4584	5	0/0	82/284	389	18429/5d5ee8a7ddcc	doctype
htmlparser-benchmark/5020d8de60d27540f02da75535adb8f922a62e3d49d6d84845d70f19b84cf096.html	ok	1967	1	0/0	22/113	126	8113/4e94bcfefb35	doctype
htmlparser-benchmark/50307222a307152e17c5262fc6983e8eb6ecd7a5d4c6505a7e9ab475bbe67eeb.html	ok	1600	7	0/0	13/67	148	5455/7d62699d123a	doctype
htmlparser-benchmark/5266a1f7a940b3a4eebf2716b4c74ae420d317610058729264cd6fd1357df837.html	ok	1927	4	3/20	42/179	265	10380/15f21e7cf837	TRUE
htmlparser-benchmark/56671acb60ba54b0c5c5bf3e428d1a679035a07c3721e71e871236ab6b9f08aa.html	ok	2574	12	3/6	62/159	206	12025/00d5a6f56804	doctype
htmlparser-benchmark/5718f2414a4824e37b00e769516eb5fc69a750369e92180d35930114ec7b2b42.html	ok	1372	14	0/0	12/76	103	4636/171fa489e4bf	doctype
htmlparser-benchmark/5826a9c9c5879336a5324ccdc56d6564eca14a9066251740faf3f93126864901.html	ok	2440	39	0/0	35/152	194	8183/2fbe94d9c4b5	TRUE
htmlparser-benchmark/5a012f66c2bf0c70a0744c7483478aaa0c1a2b5b5920a72223f3a090e39df8be.html	ok	2257	3	0/0	23/111	180	14587/f06da5016136	TRUE
htmlparser-benchmark/5bc9df3a36efb57a22edf862cec6a28eb112e535559c194d7976fb664c922c13.html	ok	1903	30	0/0	15/118	108	8480/ea4863cb6ebc	doctype
htmlparser-benchmark/5c83c2d71f97e2b5a979f197fbae6773dee6844e28889ae66ccb8d7458a9c5bb.html	ok	1678	3	3/8	17/92	139	10879/0edbb968abfc	TRUE
htmlparser-benchmark/5de3db78f95172797a51b3b3b2cdc4caeb63a4d7b709e4441510d2c1967e0e6f.html	ok	1781	1	0/0	21/106	117	6929/28067dea456d	doctype
htmlparser-benchmark/5f081a0a9d1a1ce3b0e53603ecd8bde78947841c8fd1ff3c36efa95ee84681f6.html	ok	2880	6	0/0	32/137	279	14786/5059cde56148	TRUE
htmlparser-benchmark/5f8b89390d3fc01c6a80728ba2aee597fea1dbfc8399d61015956db71e5336c7.html	ok	365	1	0/0	3/18	32	2972/ebab3ab21722	TRUE
htmlparser-benchmark/5f8c9f60be2250f694094ee1ca5deb9df10479e29fc92ff07c77c4cb9d2c3f21.html	ok	1959	1	0/0	29/136	242	7538/255f67e42c26	doctype
htmlparser-benchmark/5fbfe3905c71925b1b3a875a3111073e5d0996d3f250a697398477d3642db321.html	ok	2112	23	0/0	21/206	253	13104/bab4f3d31132	doctype
htmlparser-benchmark/60b8aff17382f2fd02584645ef66e517b41f764d5b4ca404c1ceff3fe22bdda8.html	ok	3576	5	0/0	56/223	296	11142/8d0871b7068a	doctype
htmlparser-benchmark/60bccec4069d54a6889bfcda785c0f3066a70cb5fadeea81f28d371681a2dee8.html	ok	4912	55	0/0	22/126	157	25562/7ad1f5d32a6f	TRUE
htmlparser-benchmark/60cc80fb25f0b2ebdb2e6835ab7bfd3d26362971e39fe8838e7ac548ba323cf0.html	ok	553	1	0/0	3/18	34	7236/146911df7c1c	TRUE
htmlparser-benchmark/61adb9c208d9c67253b4413ef7ec2d010edae448b8c832bff2254125e4b51d5f.html	ok	1881	4	4/22	43/178	255	7693/95ab6820512f	TRUE
htmlparser-benchmark/61d8052b19ed9885651ed1110ddcccc001f9ec2e3b7a77926d350762bcd02400.html	ok	2005	23	0/0	21/199	240	11522/5a06eb706a1c	doctype
htmlparser-benchmark/63c6d5256b8ce1098b5688eb5fafa747e9467692d099a3e9e42246e7af29748f.html	ok	1501	7	1/2	16/74	122	5240/55c4dbad6ee2	doctype
htmlparser-benchmark/64bf40da8348d808ef103cc5529fd268fec46fbefa40b486d288d2a07871a527.html	ok	1945	1	0/0	16/137	204	8226/948c230461fd	TRUE
htmlparser-benchmark/65742ddd0738b23a022e6a17ed3af89a45b57172b0f2b2732c78a8d9ad95d77c.html	ok	1899	1	0/0	24/118	128	7650/dfa125a8c527	doctype
htmlparser-benchmark/679d5ce187acda3a022c5d92b71b252703e780ed3ddcd6d9e44103e134e057d7.html	ok	461	1	0/0	3/18	29	5284/8b70099dd6cf	TRUE
htmlparser-benchmark/69087cd3b7ca122ffbd35d6d38de33651fd5ab62d637b87d70599e05d299aa98.html	ok	1651	3	0/0	15/77	207	8539/c853e563314a	TRUE
htmlparser-benchmark/6a59bd96489c98226c72f0245bac98a4b09aa0516ebfe4982233a6c33d129691.html	ok	1158	18	3/17	6/42	96	6051/e021f9730d7d	TRUE
htmlparser-benchmark/6b095375a53dfc7994a032e2efac70f43a4fac9303d549256d88b8f7cecadd50.html	ok	1219	100	0/0	0/0	119	4008/521a1fb71358	FALSE
htmlparser-benchmark/6b817bedb8d6402bab160ed6d2b99256163bd3aef20deae3015f74e5bb253e55.html	ok	2742	3	2/3	41/218	246	8928/36375b882ce9	doctype
htmlparser-benchmark/6d30abed88489774017024b17cdb1928d9a2b45bb79767515383b8444e9601b2.html	ok	1491	5	0/0	24/143	178	9591/6676c201b1df	TRUE
htmlparser-benchmark/717fa45e0e3901be4039f2a6b26d4b50cf869a903dc8057e2fac1047fd033fdc.html	ok	1229	6	0/0	14/82	106	5274/49989dcfa808	TRUE
htmlparser-benchmark/71bf3c23c5d3fff9cec67606fde6547c8866ae8aa95f5991651d94c68df4ad1d.html	ok	2839	18	4/15	31/245	305	15506/7457c85a64df	doctype
htmlparser-benchmark/71cb773c42c94b75d41c059a27dd10b763443a71dbb6dd202402843de8a5e331.html	ok	1559	8	0/0	18/75	134	9232/1651a49e8eab	TRUE
htmlparser-benchmark/72e78dee157bdf3e8a9a9f07e54a98a3714ea2998e2c2e2a94c46dbe92176feb.html	ok	2369	72	0/0	11/87	489	8548/e924bbfe595d	TRUE
htmlparser-benchmark/72ecfb3f60f4e8a6103916f2041ce9a55c4ef1e31477f9a8ffb7f4d3bba8c559.html	ok	3582	7	3/25	34/196	250	21595/a559ed481730	doctype
htmlparser-benchmark/73c175cdf9d5e065351ecf2220510088904adb77b49211cdd99e43e5870e06c2.html	ok	1069	1	0/0	5/54	101	11786/8323d1b4fe9b	TRUE
htmlparser-benchmark/749998378f1dcf37a9f24a5b3be83fee32f3bee78e165b33ad404138ee04df13.html	ok	1276	17	2/13	7/38	93	6936/6fe822e80472	TRUE
htmlparser-benchmark/74e8bc94abea7c60f022d8d3f672f80e59e3e126735fae0b5ee5914ff2fce48e.html	ok	9391	5	5/2	2/11	366	33944/28c84599ac6a	doctype
htmlparser-benchmark/783f9f0fba31f9653f382a7076e92795cb622216ad6e5e58023e10e8b09e66e0.html	ok	2631	3	2/3	38/205	230	10932/8b719f1ae3c3	doctype
htmlparser-benchmark/7a426de207434e419a65eead0f4b46c8a479429d8429c36dc03b033d7e4891df.html	ok	981	6	1/2	2/7	70	4157/8e7f6842c76e	doctype
htmlparser-benchmark/7b7ffca82db8f721d6e5a8e4e65e60885af5eee4b9f28beb6b8363bb70c820f9.html	ok	4513	16	1/4	51/302	463	15826/e1ab842ba489	doctype
htmlparser-benchmark/7e26f2e426fef3c1a370382e7827ef2e530a2ff0c2cea7641ebb596a4a1b8008.html	ok	2310	4	2/2	37/216	252	8121/c37959c2da3a	doctype
htmlparser-benchmark/7e2d19ccbb3b4029dddf26557555278babdac18bb78a742052fd946001c28e4e.html	ok	3620	7	3/22	34/193	251	24902/a947cfa7dddc	doctype
htmlparser-benchmark/7e54e701ac39a9046d6eeb0ae75d2138733b66b30b5211e7f3245dd6dc3ca36c.html	ok	1884	1	0/0	24/121	128	6034/8b5c6b74b023	doctype
htmlparser-benchmark/7e91eb56692c91312a3dc3e7b769a2916029ef3d9e431d056d5f548c0f771d16.html	ok	1347	19	3/18	7/45	107	10651/7121632edd04	TRUE
htmlparser-benchmark/7fc58a2d32d5b8d5fa9b918453a284acc71703ccfa0f0c89ec292b4245fd0521.html	ok	2399	90	86/29	13/93	180	4938/8adcfaeb9d77	doctype
htmlparser-benchmark/810434b96be714b2ce095abe0f2ae7768279426b957747d14a9ce75d88443e99.html	ok	580	2	1/2	13/35	39	2954/ff1d1435817d	doctype
htmlparser-benchmark/8172f708c00419226cbe0848dd3bcf153f076a6eda9802446790a926c26c97b3.html	ok	2468	0	0/0	12/96	182	6110/b82874b959dc	TRUE
htmlparser-benchmark/819e8b8497a4fb2285cc290fc7a05f0c01c9d3a0c5e4bf7a5d07173b134181d7.html	ok	1840	1	0/0	23/114	125	6868/39bd51c5b59b	doctype
htmlparser-benchmark/81d304541f62a6aaf29494766718ab8e58e95a8e784613e75f106cdef17868d6.html	ok	1548	19	3/18	13/64	122	10290/56d243283a25	TRUE
htmlparser-benchmark/83940e658ca7dcf165fdd1dbddf0dae4acf6306d313a68037165f8ca71eecd0d.html	ok	2133	18	0/0	12/96	179	8127/f5dd1ccd3746	doctype
htmlparser-benchmark/83c362b1373f55d45fdad0edee4d2885cafd0da3f2afb146cf2822448c3c4104.html	ok	554	1	0/0	3/18	27	8108/a0c42028a023	TRUE
htmlparser-benchmark/84a7e7d5f61c90050a326bb74ac3a57899fdba4b755bd50df01a053c262d354e.html	ok	2909	12	0/0	11/75	243	6792/00aa72d92c2b	TRUE
htmlparser-benchmark/864dda5a45ef2c84ea8419ef6e81bede7254b3660151d7b195dbfb406dfb0d6b.html	ok	1821	1	0/0	21/112	119	7769/2815fe9e9595	doctype
htmlparser-benchmark/8721485f4a210993bbbedd0c6830909a0f041a27952796d8a28ced9e6ab50d9b.html	ok	1909	1	0/0	23/115	129	6969/d26ab6c244d5	doctype
htmlparser-benchmark/8828e1dfcfe3176ac12fb37be6849fec8e60f27a5066fbed90ce5db3c899b2c8.html	ok	851	1	0/0	5/38	71	10573/60f7e96f835d	TRUE
htmlparser-benchmark/8835c88ebe19cc08483715dfdd65d3f0dd5128451d447db721d7d9bb594d1e3b.html	ok	1524	7	0/0	21/129	141	3654/a75fa0dc6fd7	TRUE
htmlparser-benchmark/88363fce514936460008971db0d58bfe53f6075fef7eee0efd1c2a4d8cdd8054.html	ok	2320	1	0/0	31/148	149	8703/a5b5cad4579d	doctype
htmlparser-benchmark/88fe82fbfd668b94e6d002e15c9df8de1d957bd1ec77cc67869cadd2498e5d02.html	ok	3936	32	0/0	52/284	404	13637/727ec32d930f	doctype
htmlparser-benchmark/8a1eb64f950f2f43097577c244fb38a35660f50a88c4305b23a8f24f254da8cb.html	ok	2482	9	2/2	37/224	272	9371/88cff7ab4991	doctype
htmlparser-benchmark/8a701b6ec1c56e2c37357030da0b4b10af4187f069a988e12c2f91d2ba40cdc1.html	ok	768	1	0/0	4/31	61	9619/8f7cc3fe66d1	TRUE
htmlparser-benchmark/8a82ce22fec5e3656dad3d55e585727c88c94808ad92e37a0f6e99dcb3888800.html	ok	4217	21	0/0	51/296	433	13955/8712e7b791cf	doctype
htmlparser-benchmark/8a9d17a1e5b1866abc7b9263fabbc428e5299c7443ecad6cc56c0076287fe11a.html	ok	1336	16	1/2	5/16	140	6060/66930ff0c07d	doctype
htmlparser-benchmark/8bd6d9bcba689408767f770d69f12b59c3f092e73cffcc9332261fbab4aa16e1.html	ok	418	1	0/0	2/15	27	3233/7eefe2eb7b61	TRUE
htmlparser-benchmark/8c0dd0456453aeff3f66d053710f18adc1a2fc0f1f3a0c95a3e166e41ffb737d.html	ok	1905	1	0/0	19/104	106	3687/8fab9a019c47	doctype
htmlparser-benchmark/8c1a780dec8c1a5ea0344514524f53b2b580ce87083e0a756ade3d83627d5653.html	ok	4262	16	1/4	49/288	434	14902/67aefb39c479	doctype
htmlparser-benchmark/8cbf3b144736ffc4adda5fe7105e7fd1413dcc1955110829d849a658aa722bea.html	ok	2536	41	0/0	36/157	208	14379/6c35b11e3fa5	TRUE
htmlparser-benchmark/8cfa9d30e2b66b991461423012906121661cd9c8809f564eabb660149577864d.html	ok	1310	12	0/0	18/90	119	4415/6262337fdea7	TRUE
htmlparser-benchmark/8d612a03fa42a2fb014b59534c46c9590da90fbeb91ac50938cdfa36dd274e23.html	ok	3611	6	3/25	34/196	249	21863/7a346b617817	doctype
htmlparser-benchmark/8faa3156452fa9d0667617c406eb9b6458b48d7b8c36cf2bf804fba290b302f5.html	ok	2682	42	0/0	39/164	216	11673/2cbcc8808456	TRUE
htmlparser-benchmark/900d47edad434e1511f0167c1d31ac525253a37af785f09e00c19685cdb50c61.html	ok	2431	0	0/0	46/229	289	7576/30057a6eb37e	TRUE
htmlparser-benchmark/908eb47dc8a2159a6247c21288cb8791d2704ea391c02ac61b5840894233a160.html	ok	2153	46	9/39	11/89	256	10562/90c80d8ba15e	doctype
htmlparser-benchmark/91a36e049f1333ca254331009fff8aba4b3568e05e52a806841678506b0f5010.html	ok	1239	11	0/0	10/43	84	4433/94df8c705c71	TRUE
htmlparser-benchmark/91c286205920ff2064e1328c3650e3789fbd3fa798c832b12cd5f65185e6e6d5.html	ok	2363	6	2/2	36/220	259	9965/59e75930bcbe	doctype
htmlparser-benchmark/939cc2620225a0f63bbded1d2b6f3be00a18aae007951441dfae1413baa2f1d3.html	ok	2097	1	0/0	25/126	132	9196/ccdfe427ad8a	doctype
htmlparser-benchmark/93a36c0de7b46cfce77b09466dad2fd1c3ff26f54262a7a2b99323f715c52a1a.html	ok	2099	1	0/0	25/124	132	9088/67a0d5dc4d4a	doctype
htmlparser-benchmark/952fa459dd93f830a0a3b20274230c1abcef8148bf7a69074de104de5545c556.html	ok	1781	23	2/93	15/71	143	9310/8303b2c2e681	doctype
htmlparser-benchmark/96b44b41daf2e18c8bf488308861d929dba8136a3af461491e64b730340ebe6a.html	ok	1907	7	0/0	6/26	124	8947/5ff95cf1de75	doctype
htmlparser-benchmark/98fdd20f5ecf745756e2d2116b1f22641d84fc4505010ec87e6a4dc315655d3e.html	ok	445	1	0/0	2/15	27	4161/33837344453b	TRUE
htmlparser-benchmark/9c947bc9fbcb4e2eb0296d858fe193f580e869db7869358af822d7d2d4c0388e.html	ok	1054	0	0/0	11/88	132	4229/daf83f41f76c	TRUE
htmlparser-benchmark/9e04cb267a9b128369a11c7f6e5486d43644955dee7f73cc004b9cf1693a11c1.html	ok	1927	1	0/0	24/121	128	6847/e29870284611	doctype
htmlparser-benchmark/9e3c6d40690c1302613f203db178b23f9f18494d2653a1b547086a3973fff93c.html	ok	1923	1	0/0	22/118	132	8874/15a088130a2f	doctype
htmlparser-benchmark/9f2031ee45a11919452ca2efbc3498672324cda5f76314d7ea10913f63cf3545.html	ok	2451	7	1/2	50/181	208	10971/41f18b78378e	doctype
htmlparser-benchmark/9fba51a14308353194c537f494ded0ccb27d9f908f252690b083d48db64ea15a.html	ok	1908	1	0/0	19/104	106	3696/98156b01bfcc	doctype
htmlparser-benchmark/a14c7ccf3ab81a919783275d9813aca084e1eeb8d9f73c3cb61f7e32956f5a69.html	ok	2458	6	1/1	18/124	171	7224/a6dd100d8b66	doctype
htmlparser-benchmark/a15540be9ec31af460246605295bd157435b43be726589e4e2ed9b3511859a77.html	ok	1984	1	0/0	22/108	121	13810/e7011e60818e	doctype
